Team,ID,Div,ELO
Tropical Punchers,,9B,1086
Purple Puck Eaters,,9B,880
Penalty Boxers,,10A,1050
Doom Clouds,,10A,1050
Ice Breakers,,10A,1050
Red Zeppelin,,10A,1050
Seattle Supernova,,1A,4250
NW Stars,,1A,4103
Mustangs,,1A,4185
Falcons,,1A,4676
ESB,,1A,4164
ALTP,,1A,4380
The Mighty Geoducks,,2A,4123
The Brigade,,2A,4025
Red Dog,,2A,3940
Pull Tab Bandits,,2A,4059
Pheasants,,2A,3945
Northwest Crabs,,2A,4194
Mavericks,,2A,4174
Koronis Motors,,2A,4201
Chiefs,,2A,4057
The Herd,,3A,3948
Rhinos,,3A,3880
Puget Sound Pigeons,,3A,3979
Puckbuddies,,3A,3592
Eagles,,3A,3964
Booze Hounds,,3A,3780
Bombers,,3A,3745
Bar Down Transportation,,3A,3850
Shockers,,3B,3494
Sasquatch,,3B,3799
Sabercats,,3B,3562
MMHC,,3B,3687
Breakers,,3B,3706
Steelhead,,4A,3515
Skateful Dead,,4A,3597
Schilling Cider,,4A,3249
Maple Bars,,4A,3537
Goal Diggers,,4A,3431
Chinooks,,4A,3592
Night Owls,,4B,3588
Mighty Mallards,,4B,3457
Kraken Up,,4B,3290
Greasy Weasels,,4B,3321
Coconut Corgis,,4B,3454
Buck Wild,,4B,3382
Wolves,,4C,3357
Skeletons,,4C,3408
Not Sure 5A,,4C,3256
LLUA,,4C,3323
Edible Arrangements,,4C,3151
DevilFish,,4C,3232
Moose Knuckle,,5A,3229
Ice-O-Topes,,5A,2741
Hooligans,,5A,2962
Dead Rabbits,,5A,3270
BSOD,,5A,2944
Top Cheddar,,5A,2850
Seagulls,,5B,3080
Roughnecks - Game Theory,,5B,3084
Renegades,,5B,3099
Reapers,,5B,2727
Dumpster Fire,,5B,3050
Yetis,,5C,3077
WKUP-5,,5C,2896
Trash Pandas 5B,,5C,2896
Bullets,,5C,2942
Piranhas,,5C,2710
Monarchs 5D,,5C,3123
Gamblers,,5C,2850
Lumberjacks,,5D,2976
Seals 5D,,5D,2989
Highlanders,,5D,2992
Black Katz,,5D,2598
Alpuckas,,5D,2798
Stingers,,5D,2650
Midnight Twist,,6A,2956
Fossils,,6A,2851
Brewzers OGB,,6A,2650
Squids,,6A,2481
PussyCats,,6A,2803
Dirty Couch Hockey Club,,6B,2701
Rainier Reindeer HC-6B,,6B,2744
Jokres,,6B,2778
Icemen,,6B,2564
Dumb Pucks,,6B,2620
Honey Badgers,,6B,2518
Flying Monkeys,,6B,2385
Mighty Boosh,,6B,2371
Coyotes,,6C,2469
Real Bacon,,6C,2405
Raiders,,6C,2356
Hackers,,6C,2579
Wranglers,,6C,2400
Seattle Freeze,,6D,2376
Greenhorns,,6D,2666
Barrel Aged Brewzers,,6D,2400
Mudflaps,,6D,2230
Blades,,6D,2519
Trash Pandas Garbage Legacy,,6D,2301
Trash Pandas 7 Landis,,7A,2187
Not Sure 7A,,7A,2283
Monarchs 6C,,6C,2434
Cascadians HC,,7A,2264
Chucklepucks,,7A,2207
Seals Lower,,7A,2245
Roughnecks Mobile Infantry,,7B,2031
Birrds,,7B,2196
LKI,,7B,1722
Hampton West Hockey Club,,7B,2192
Fluffy Bunnies,,7B,1857
Bandits,,7B,2086
Seattle Dogs,,7C,1932
Iced Awesome,,7C,2084
Quacken,,7C,1840
BLU Bombers,,7C,1948
Los Tigres,,7C,1838
Pond Pigeons,,7C,1752
Spittin'' Llamas,,8A,1846
Sockeyes Div 8,,8A,1825
Scrooge McPuck,,8A,1686
Orcas,,8A,1745
Glow Sticks,,8A,1596
Blackouts,,8A,1636
Toe Dragons,,8B,1843
Seal Team Sticks,,8B,1680
Rainiers,,8B,1661
Hungry Hatchlings,,8B,1882
Arctic Foxes,,8B,1651
SEA Cucumbers,,8B,1548
Yacht Flippers,,9A,1507
Rainier Reindeers HC-9,,9A,1537
Fighting Clams,,9A,1652
Blackbirds,,9A,1574
Khaos,,9A,1364
Gremlins Hockey,,9A,1485
Purple Reign,,9B,1404
Spicy Kittens,,9B,1457
Orange Crush,,9B,1273
Mighty Moose,,9B,1133
Frozen Assets,,9B,1266
Beer Dragons,,9B,944
