Game#,Date,Away Team,Away Score,Home Team,Home Score,Away Division,Home Division,Game Type
,2-Sep-25,Blue Footed Bloobies,9,Rink Flamingos,0,Women''s Division Fall 2025,Women's Division Fall 2025,REG
,2-Sep-25,Pineapple Express,4,Black Sheesh,8,Women''s Division Fall 2025,Women''s Division Fall 2025,REG
,2-Sep-25,Grey Dust Bunnies,1,White Yetis,2,Women''s Division Fall 2025,Women''s Division Fall 2025,REG
,2-Sep-25,Red Hots,2,Sirens,5,Women''s Division Fall 2025,Women's Division Fall 2025,REG
,9-Sep-25,40+ Advanced Falk,2,40+ Advanced 40 Proof,4,40+ Advanced Fall 2025,40+ Advanced Fall 2025,REG
,9-Sep-25,Blue Footed Bloobies,5,Sirens,3,Women''s Division Fall 2025,Women's Division Fall 2025,REG
,9-Sep-25,40+ Advanced Gritty Pylons,3,40+ Advanced Road Apples,2,40+ Advanced Fall 2025,40+ Advanced Fall 2025,REG
,9-Sep-25,40+ Advanced Puck Hogs,3,40+ Advanced Bakers Dozen,3,40+ Advanced Fall 2025,40+ Advanced Fall 2025,REG
,9-Sep-25,Pineapple Express,6,Grey Dust Bunnies,3,Women''s Division Fall 2025,Women''s Division Fall 2025,REG
,9-Sep-25,White Yetis,6,Rink Flamingos,0,Women''s Division Fall 2025,Women's Division Fall 2025,REG
,9-Sep-25,Red Hots,4,Black Sheesh,5,Women''s Division Fall 2025,Women''s Division Fall 2025,REG
,10-Sep-25,40+ Mid-Ice Crisis,3,40+ Gritty Pylons,4,40+ Fall 2025,40+ Fall 2025,REG
,10-Sep-25,40+ Puck Dynasty,7,40+ Carl's Seniors,1,40+ Fall 2025,40+ Fall 2025,REG
,10-Sep-25,40+ Elder Skatesmen,6,40+ Coldtimers,1,40+ Fall 2025,40+ Fall 2025,REG
,10-Sep-25,40+ Rough Draft,3,40+ Red Flags,1,40+ Fall 2025,40+ Fall 2025,REG
,10-Sep-25,40+ Geri Hat Tricks,1,40+ Assisted Living,5,40+ Fall 2025,40+ Fall 2025,REG
,16-Sep-25,Grey Dust Bunnies,4,Red Hots,1,Women''s Division Fall 2025,Women''s Division Fall 2025,REG
,16-Sep-25,Black Sheesh,5,Sirens,4,Women''s Division Fall 2025,Women's Division Fall 2025,REG
,16-Sep-25,40+ Advanced Road Apples,3,40+ Advanced Puck Hogs,1,40+ Advanced Fall 2025,40+ Advanced Fall 2025,REG
,16-Sep-25,40+ Advanced 40 Proof,5,40+ Advanced Bakers Dozen,2,40+ Advanced Fall 2025,40+ Advanced Fall 2025,REG
,16-Sep-25,Pineapple Express,4,Rink Flamingos,2,Women''s Division Fall 2025,Women's Division Fall 2025,REG
,16-Sep-25,Blue Footed Bloobies,6,White Yetis,4,Women''s Division Fall 2025,Women''s Division Fall 2025,REG
,16-Sep-25,40+ Advanced Falk,4,40+ Advanced Gritty Pylons,6,40+ Advanced Fall 2025,40+ Advanced Fall 2025,REG
,17-Sep-25,40+ Assisted Living,2,40+ Puck Dynasty,4,40+ Fall 2025,40+ Fall 2025,REG
,17-Sep-25,40+ Geri Hat Tricks,0,40+ Mid-Ice Crisis,8,40+ Fall 2025,40+ Fall 2025,REG
,17-Sep-25,40+ Gritty Pylons,6,40+ Rough Draft,6,40+ Fall 2025,40+ Fall 2025,REG
,17-Sep-25,40+ Red Flags,3,40+ Elder Skatesmen,6,40+ Fall 2025,40+ Fall 2025,REG
,17-Sep-25,40+ Carl's Seniors,3,40+ Coldtimers,10,40+ Fall 2025,40+ Fall 2025,REG
,21-Sep-25,Beer Dragons,1,Frozen Assets,4,Division 9B,Division 9A,REG
,21-Sep-25,Khaos,7,Orange Crush,2,Division 9A,Division 9B,REG
,21-Sep-25,Spicy Kittens,2,Tropical Punchers,1,Division 9B,Division 9B,REG
,21-Sep-25,Mighty Moose,5,Ice Breakers,0,Division 9B,Division 10A,REG
,21-Sep-25,Gremlins Hockey,5,Purple Reign,1,Division 9A,Division 9B,REG
,21-Sep-25,Fighting Clams,2,Blackbirds,3,Division 9A,Division 9A,REG
,21-Sep-25,Orcas,4,Blackouts,4,Division 8A,Division 8A,REG
,21-Sep-25,Rainier Reindeers HC-9,0,SEA Cucumbers,3,Division 9B,Division 8B,REG
,21-Sep-25,BLU Bombers,2,Los Tigres,8,Division 7C,Division 7C,REG
,21-Sep-25,Seattle Slapshots,3,Rainiers,2,Division 8B,Division 8B,REG
,21-Sep-25,Scrooge McPuck,4,Glow Sticks,3,Division 8A,Division 8A,REG
,21-Sep-25,Toe Dragons,1,Sockeyes Div 8,2,Division 8B,Division 8A,REG
,21-Sep-25,LKI,6,Chucklepucks,5,Division 7C,Division 7A,REG
,21-Sep-25,Spittin'' Llamas,2,Quacken,5,Division 8A,Division 7C,REG
,21-Sep-25,Doom Clouds,4,Golden Mules,3,Division 10A,Division 10A,REG
,21-Sep-25,Fluffy Bunnies,3,Iced Awesome,1,Division 7B,Division 7B,REG
,21-Sep-25,Seattle Dogs,0,Hampton West Hockey Club,3,Division 7C,Division 7B,REG
,21-Sep-25,Bandits,3,Seals Lower,9,Division 7B,Division 7A,REG
,21-Sep-25,Trash Pandas 7 Landis,3,Blades,3,Division 7A,Division 6D,REG
,21-Sep-25,Roughnecks Mobile Infantry,1,Not Sure 7A,6,Division 7B,Division 7A,REG
,21-Sep-25,Seal Team Sticks,6,Yacht Flippers,0,Division 8B,Division 9A,REG
,21-Sep-25,Hungry Hatchlings,2,Pond Pigeons,10,Division 8B,Division 7C,REG
,21-Sep-25,Birrds,0,Mudflaps,7,Division 7B,Division 6D,REG
,21-Sep-25,Cascadians HC,1,Trash Pandas Garbage Legacy,5,Division 7A,Division 6D,REG
,21-Sep-25,Wranglers,5,Monarchs 6C,1,Division 6D,Division 6C,REG
,21-Sep-25,Purple Puck Eaters,11,Red Zeppelin,4,Division 9B,Division 10A,REG
,21-Sep-25,Mighty Boosh,8,Seattle Freeze,3,Division 6B,Division 7A,REG
,21-Sep-25,Stingers,8,Icemen,2,Division 5C,Division 6B,REG
,21-Sep-25,Barrel Aged Brewzers,3,Greenhorns,3,Division 6D,Division 6C,REG
,21-Sep-25,Hackers,5,Raiders,7,Division 6C,Division 6D,REG
,21-Sep-25,Real Bacon,4,Flying Monkeys,5,Division 6C,Division 6A,REG
,21-Sep-25,Coyotes,3,Rainier Reindeer HC-6B,5,Division 6C,Division 6B,REG
,22-Sep-25,Monarchs 5D,3,Gamblers,3,Division 5D,Division 5C,REG
,22-Sep-25,Dirty Couch Hockey Club,2,Alpuckas,2,Division 6B,Division 5D,REG
,22-Sep-25,Brewzers OGB,2,Fossils,1,Division 6A,Division 6A,REG
,22-Sep-25,Honey Badgers,2,Squids,9,Division 6C,Division 6A,REG
,22-Sep-25,Highlanders,0,Piranhas,1,Division 5D,Division 5C,REG
,22-Sep-25,Jokres,0,Dumb Pucks,2,Division 6B,Division 6B,REG
,22-Sep-25,Dumpster Fire,4,Renegades,4,Division 5A,Division 5B,REG
,22-Sep-25,Top Cheddar,7,Lumberjacks,3,Division 5A,Division 5D,REG
,22-Sep-25,Seals 5D,5,Midnight Twist,2,Division 5D,Division 6A,REG
,22-Sep-25,Seagulls,2,Reapers,4,Division 5B,Division 5B,REG
,22-Sep-25,BSOD,2,Not Sure 5A,7,Division 4C,Division 5A,REG
,22-Sep-25,WKUP-5,5,Yetis,3,Division 5B,Division 5C,REG
,23-Sep-25,PussyCats,6,Black Katz,2,Division 6A,Division 5D,REG
,23-Sep-25,Red Hots,1,Rink Flamingos,2,Women''s Division Fall 2025,Women's Division Fall 2025,REG
,23-Sep-25,40+ Advanced Bakers Dozen,5,40+ Advanced Gritty Pylons,5,40+ Advanced Fall 2025,40+ Advanced Fall 2025,REG
,23-Sep-25,The Mighty Geoducks,6,Pheasants,3,Division 2,Division 2,REG
,23-Sep-25,Ice-O-Topes,4,Bullets,2,Division 5A,Division 5C,REG
,23-Sep-25,Pineapple Express,4,White Yetis,5,Women''s Division Fall 2025,Women''s Division Fall 2025,REG
,23-Sep-25,Puckbuddies,2,Breakers,3,Division 3B,Division 3B,REG
,23-Sep-25,DevilFish,3,Dead Rabbits,0,Division 4C,Division 4C,REG
,23-Sep-25,Grey Dust Bunnies,2,Sirens,3,Women''s Division Fall 2025,Women's Division Fall 2025,REG
,23-Sep-25,40+ Advanced Road Apples,1,40+ Advanced Falk,6,40+ Advanced Fall 2025,40+ Advanced Fall 2025,REG
,23-Sep-25,40+ Advanced 40 Proof,4,40+ Advanced Puck Hogs,0,40+ Advanced Fall 2025,40+ Advanced Fall 2025,REG
,23-Sep-25,Coconut Corgis,2,Greasy Weasels,0,Division 4A,Division 4B,REG
,23-Sep-25,Black Sheesh,2,Blue Footed Bloobies,7,Women''s Division Fall 2025,Women''s Division Fall 2025,REG
,24-Sep-25,Trash Pandas 5B,5,Roughnecks - Game Theory,6,Division 5B,Division 5A,REG
,24-Sep-25,Kraken Up,2,Night Owls,4,Division 4B,Division 4B,REG
,24-Sep-25,40+ Carl's Seniors,5,40+ Red Flags,4,40+ Fall 2025,40+ Fall 2025,REG
,24-Sep-25,Moose Knuckle,3,Wolves,4,Division 4C,Division 4C,REG
,24-Sep-25,Goal Diggers,4,Maple Bars,0,Division 4A,Division 4A,REG
,24-Sep-25,40+ Coldtimers,3,40+ Assisted Living,4,40+ Fall 2025,40+ Fall 2025,REG
,24-Sep-25,Buck Wild,2,Schilling Cider,3,Division 4B,Division 4B,REG
