Date,Team,ELO,Opponent,Opp ELO,Delta,Win %,Tie %,Loss %,GF,GA,Result,+/- ELO,ELO Post Game
09/21/25,Beer Dragons,944,Frozen Assets,1266,-322,12.2,2.6,85.1,1,4,Loss,-16,928
09/21/25,Frozen Assets,1266,Beer Dragons,944,322,85.1,2.6,12.2,4,1,Win,16,1282
09/21/25,Khaos,1364,Orange Crush,1273,91,60.2,5.2,34.6,7,2,Win,60,1424
09/21/25,Orange Crush,1273,Khaos,1364,-91,34.6,5.2,60.2,2,7,Loss,-60,1213
09/21/25,Spicy Kittens,1457,Tropical Punchers,1086,371,88.4,2.1,9.5,2,1,Win,9,1466
09/21/25,Tropical Punchers,1086,Spicy Kittens,1457,-371,9.5,2.1,88.4,1,2,Loss,-9,1077
09/21/25,Mighty Moose,1133,Ice Breakers,1000,133,65.8,4.9,29.3,5,0,Win,51,1184
09/21/25,Ice Breakers,1000,Mighty Moose,1133,-133,29.3,4.9,65.8,0,5,Loss,-51,949
09/21/25,Gremlins Hockey,1485,Purple Reign,1404,81,58.8,5.3,35.9,5,1,Win,58,1543
09/21/25,Purple Reign,1404,Gremlins Hockey,1485,-81,35.9,5.3,58.8,1,5,Loss,-58,1346
09/21/25,Fighting Clams,1652,Blackbirds,1574,78,58.4,5.3,36.3,2,3,Loss,-44,1608
09/21/25,Blackbirds,1574,Fighting Clams,1652,-78,36.3,5.3,58.4,3,2,Win,44,1618
09/21/25,Orcas,1745,Blackouts,1636,109,62.6,5.1,32.3,4,4,Tie,-9,1736
09/21/25,Blackouts,1636,Orcas,1745,-109,32.3,5.1,62.6,4,4,Tie,9,1645
09/21/25,Rainier Reindeers HC-9,1537,SEA Cucumbers,1548,-11,45.6,5.6,48.8,0,3,Loss,-60,1477
09/21/25,SEA Cucumbers,1548,Rainier Reindeers HC-9,1537,11,48.8,5.6,45.6,3,0,Win,60,1608
09/21/25,BLU Bombers,1948,Los Tigres,1838,110,62.8,5.1,32.1,2,8,Loss,-100,1848
09/21/25,Los Tigres,1838,BLU Bombers,1948,-110,32.1,5.1,62.8,8,2,Win,100,1938
09/21/25,Seattle Slapshots,1651,Rainiers,1661,-10,45.8,5.6,48.6,3,2,Win,41,1692
09/21/25,Rainiers,1661,Seattle Slapshots,1651,10,48.6,5.6,45.8,2,3,Loss,-41,1620
