,Date,Away Team,Away Score,Home Team,Home Score,Away Division,Home Division,Game Type,Game_ID,Away ELO Prior,Away EA,Away ELO Posterior,Away Delta,Home ELO Prior,Home EA,Home ELO Posterior,Home Delta
0,09/21/25,Beer Dragons,1,Frozen Assets,4,Division 9B,Division 9A,REG,09/21/25_Beer Dragons_@_Frozen Assets,944,13.5,928,-16,1266,86.5,1282,16
1,09/21/25,Khaos,7,Orange Crush,2,Division 9A,Division 9B,REG,09/21/25_Khaos_@_Orange Crush,1364,62.8,1424,60,1273,37.2,1213,-60
2,09/21/25,Spicy Kittens,2,Tropical Punchers,1,Division 9B,Division 9B,REG,09/21/25_Spicy Kittens_@_Tropical Punchers,1457,89.4,1466,9,1086,10.6,1077,-9
3,09/21/25,Mighty Moose,5,Ice Breakers,0,Division 9B,Division 10A,REG,09/21/25_Mighty Moose_@_Ice Breakers,1133,68.3,1184,51,1000,31.7,949,-51
4,09/21/25,Gremlins Hockey,5,Purple Reign,1,Division 9A,Division 9B,REG,09/21/25_Gremlins Hockey_@_Purple Reign,1485,61.5,1543,58,1404,38.5,1346,-58
5,09/21/25,Fighting Clams,2,Blackbirds,3,Division 9A,Division 9A,REG,09/21/25_Fighting Clams_@_Blackbirds,1652,61.0,1608,-44,1574,39.0,1618,44
6,09/21/25,Orcas,4,Blackouts,4,Division 8A,Division 8A,REG,09/21/25_Orcas_@_Blackouts,1745,65.2,1736,-9,1636,34.8,1645,9
7,09/21/25,Rainier Reindeers HC-9,0,SEA Cucumbers,3,Division 9B,Division 8B,REG,09/21/25_Rainier Reindeers HC-9_@_SEA Cucumbers,1537,48.4,1477,-60,1548,51.6,1608,60
8,09/21/25,BLU Bombers,2,Los Tigres,8,Division 7C,Division 7C,REG,09/21/25_BLU Bombers_@_Los Tigres,1948,65.3,1848,-100,1838,34.7,1938,100
9,09/21/25,Seattle Slapshots,3,Rainiers,2,Division 8B,Division 8B,REG,09/21/25_Seattle Slapshots_@_Rainiers,1651,48.6,1692,41,1661,51.4,1620,-41
10,09/21/25,Scrooge McPuck,4,Glow Sticks,3,Division 8A,Division 8A,REG,09/21/25_Scrooge McPuck_@_Glow Sticks,1686,62.7,1716,30,1596,37.3,1566,-30
11,09/21/25,Toe Dragons,1,Sockeyes Div 8,2,Division 8B,Division 8A,REG,09/21/25_Toe Dragons_@_Sockeyes Div 8,1843,52.6,1806,-37,1825,47.4,1862,37
12,09/21/25,LKI,6,Chucklepucks,5,Division 7C,Division 7A,REG,09/21/25_LKI_@_Chucklepucks,1722,5.8,1793,71,2207,94.2,2136,-71
13,09/21/25,Spittin'' Llamas,2,Quacken,5,Division 8A,Division 7C,REG,09/21/25_Spittin'' Llamas_@_Quacken,1846,50.9,1783,-63,1840,49.1,1903,63
14,09/21/25,Doom Clouds,4,Golden Mules,3,Division 10A,Division 10A,REG,09/21/25_Doom Clouds_@_Golden Mules,1000,50.0,1040,40,1000,50.0,960,-40
15,09/21/25,Fluffy Bunnies,3,Iced Awesome,1,Division 7B,Division 7B,REG,09/21/25_Fluffy Bunnies_@_Iced Awesome,1857,21.3,1948,91,2084,78.7,1993,-91
16,09/21/25,Seattle Dogs,0,Hampton West Hockey Club,3,Division 7C,Division 7B,REG,09/21/25_Seattle Dogs_@_Hampton West Hockey Club,1932,18.3,1910,-22,2192,81.7,2214,22
17,09/21/25,Bandits,3,Seals Lower,9,Division 7B,Division 7A,REG,09/21/25_Bandits_@_Seals Lower,2086,28.6,2044,-42,2245,71.4,2287,42
18,09/21/25,Trash Pandas 7 Landis,3,Blades,3,Division 7A,Division 6D,REG,09/21/25_Trash Pandas 7 Landis_@_Blades,2187,12.9,2216,29,2519,87.1,2490,-29
19,09/21/25,Roughnecks Mobile Infantry,1,Not Sure 7A,6,Division 7B,Division 7A,REG,09/21/25_Roughnecks Mobile Infantry_@_Not Sure 7A,2031,19.0,2005,-26,2283,81.0,2309,26
