Game#,Date,Away Team,Away Score,Home Team,Home Score,Away Division,Home Division,Game Type
,22-Sep-24,SEA Cucumbers,6,Spicy Kittens,5,Division 9B,Division 9B,REG
,22-Sep-24,Khaos,9,Blackouts,2,Division 9,Division 9A,REG
,22-Sep-24,Purple Reign,3,Blackbirds,1,Division 9B,Division 9B,REG
,22-Sep-24,Yacht Flippers,1,Toe Dragons,2,Division 8C,Division 8C,REG
,22-Sep-24,Mid-Ice Crisis,0,Seal Team Sticks,5,Division 9B,Division 9,REG
,22-Sep-24,Fighting Clams,13,Rainier Reindeers HC-8,1,Division 8C,Division 10B,REG
,22-Sep-24,Fluffy Bunnies,7,Orcas,0,Division 8B,Division 8C,REG
,22-Sep-24,Post Busters,4,Div 10 Sky Blue,2,Division 10,Division 10,REG
,22-Sep-24,Arctic Foxes,8,Rainiers,2,Division 8C,Division 9,REG
,22-Sep-24,Seals Lower,5,Hungry Hatchlings,1,Division 8B,Division 8C,REG
,22-Sep-24,Sockeyes,1,Mother Cluckers,5,Division 8B,Division 8B,REG
,22-Sep-24,Los Tigres,4,Iced Awesome,3,Division 8,Division 8A,REG
,22-Sep-24,Seattle Freeze,4,Seattle Dogs,4,Division 7,Division 7,REG
,22-Sep-24,Roughnecks Mobile Infantry,3,Coyotes,3,Division 7,Division 7,REG
,22-Sep-24,Cascadians HC,3,LKI,4,Division 7B,Division 7B,REG
,22-Sep-24,Golden Gobies,7,Scrooge McPuck,2,Division 8,Division 8B,REG
,22-Sep-24,The Quacken,2,Beer Dragons,3,Division 9B,Division 10,REG
,22-Sep-24,Royal Pains,4,Fighting Mongooses,5,Division 7B,Division 7B,REG
,22-Sep-24,Puccaneers,4,Hampton West Hockey Club,4,Division 8,Division 8,REG
,22-Sep-24,Hackers,3,Real Bacon,1,Division 6B,Division 6B,REG
,22-Sep-24,Not Sure 7B,3,Blades,6,Division 7B,Division 6C,REG
,22-Sep-24,Mudflaps,3,Birrds,3,Division 6C,Division 7,REG
,22-Sep-24,BLU Bombers,5,Spittin' Llamas,0,Division 8,Division 8C,REG
,22-Sep-24,What's Kraken?,6,Trash Pandas Garbage Legacy,2,Division 6B,Division 7,REG
,22-Sep-24,Trash Pandas 6 Landis,1,Monarchs 6B,8,Division 6C,Division 6B,REG
,22-Sep-24,Rainier Reindeer HC-6A,2,Flying Monkeys,1,Division 6,Division 6B,REG
,22-Sep-24,Raiders,5,Bandits,0,Division 6C,Division 7B,REG
,23-Sep-24,Dumb Pucks,6,Honey Badgers,5,Division 6,Division 6B,REG
,23-Sep-24,Mighty Boosh,3,Greenhorns,4,Division 6C,Division 6B,REG
,23-Sep-24,PussyCats,5,Roughnecks,5,Division 6,Division 6B,REG
,23-Sep-24,Icemen,4,Alpuckas,5,Division 6,Division 6,REG
,23-Sep-24,Midnight Twist,2,Stingers,0,Division 6,Division 6,REG
,23-Sep-24,Piranhas,6,Seals 6A,3,Division 5D,Division 6,REG
,23-Sep-24,Jokres,10,Squids,3,Division 5D,Division 6,REG
,23-Sep-24,Dirty Couch Hockey Club,2,Trash Pandas 5C,7,Division 5D,Division 5C,REG
,23-Sep-24,Monarchs 5D,4,Fossils,4,Division 5D,Division 5D,REG
,23-Sep-24,Ice-O-Topes,1,Kokanees,2,Division 5B,Division 5B,REG
,23-Sep-24,Bullets,1,Hooligans,2,Division 5B,Division 5B,REG
,23-Sep-24,Reapers,4,Yetis,6,Division 5D,Division 5C,REG
,23-Sep-24,Not Sure 5B,6,BSOD,0,Division 5B,Division 5C,REG
,24-Sep-24,40+ Advanced Green,4,40+ Advanced White,4,40+ Advanced Fall 2024,40+ Advanced Fall 2024,REG
,24-Sep-24,40+ Advanced Orange,3,40+ Advanced Gray,6,40+ Advanced Fall 2024,40+ Advanced Fall 2024,REG
,24-Sep-24,Lumberjacks,2,Gamblers,4,Division 5C,Division 5B,REG
,24-Sep-24,Roughnecks - Game Theory,3,Moose Knuckle,6,Division 5,Division 4C,REG
,24-Sep-24,Dumpster Fire,2,Black Katz,4,Division 5C,Division 5C,REG
,24-Sep-24,40+ Advanced Black,6,40+ Advanced Red,2,40+ Advanced Fall 2024,40+ Advanced Fall 2024,REG
,24-Sep-24,Kraken Up,1,LLUA,7,Division 4C,Division 4C,REG
,24-Sep-24,DevilFish,4,Renegades,1,Division 5,Division 5B,REG
,24-Sep-24,Maple Bars,8,Wolves,6,Division 4B,Division 4C,REG
,24-Sep-24,Coconut Corgis,0,Greasy Weasels,8,Division 4B,Division 4B,REG
,24-Sep-24,Night Owls,2,Seagulls,2,Division 4B,Division 5A,REG
